provider,data_area,api_key_present,test_status,free_tier_viable,live_data_available,historical_data_available,match_mapping_supported,final_results_supported,team_stats_supported,player_stats_supported,confirmed_lineups_supported,odds_supported,weather_supported,referee_assignments_supported,referee_history_supported,key_missing_fields,estimated_mvp_value,recommendation,notes
the_odds_api,odds,True,ok,check_notes,yes,yes,n/a,no,no,no,no,yes,no,no,no,"btts, player_shots_on_target, player_goal_scorer_anytime",high,integrate_first,"sport_key=soccer_fifa_world_cup, accepted_markets=['h2h', 'totals', 'spreads']; 37 events, 24 bookmakers in sample"
api_football,match_stats,True,ok,check_notes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,,high,integrate_first,"Used fallback fixture 855751 (TUN vs JPN, 2022 WC); referee=S. Marciniak; fixture_status=FT; halftime score from fixture root: yes; per-stat HT breakdown: no; player stat keys sample: ['games', 'offsides', 'shots', 'goals', 'passes', 'tackles', 'duels', 'dribbles']"
api_football,confirmed_lineups,True,ok,check_notes,yes,yes,yes,no,no,no,yes,no,no,no,no,,medium,integrate,"formation: 4-2-3-1; no explicit 'confirmed' flag in lineup object; completed fixture 855751: 2 teams, startXI present=True; no upcoming fixture found to test pre-match lineup timing; Note: API-Football does not explicitly mark confirmed vs predicted lineups; treat any pre-match lineup data as predic"
api_football,referee,True,ok,check_notes,yes,yes,yes,no,no,no,no,no,no,yes,no,referee_historical_fixtures,low,integrate,referee field present: 'S. Marciniak'; no historical fixtures found for referee 'S. Marciniak' in 2024; MVP recommendation: WEAK: assignment available but history lookup failed. Can note referee name only; no tendency stats.
open_meteo,weather,True,ok,yes,yes,yes,n/a,no,no,no,no,no,yes,no,no,,low,integrate,"forecast: 72 hourly rows, timezone=Africa/Tunis; historical: 48 hourly rows; DEPENDENCY: Open-Meteo requires lat/lon per venue. API-Football fixture.venue.city can supply city name; lat/lon must be resolved via a geocoder or a manual venue->coordinate table. Open-Meteo does not accept venue names."
sportmonks,match_stats,False,not_tested,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,not_tested,
